claim_nbr,order_nbr,contract,license,name,addr,city,state,gpo,invoice_date,invoice_nbr,part,ship_qty,uom,sale,rebate
,2309383972,R705T1,R152,UNIVERSITY OF ROCHESTER/STRONG (BUL,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,02/28/2024,2309383972,656,1.0,CS,139.89,0.0
,2309445050,R705T2,LCAC,UNIV CINCINNATI-WESTCHESTER (LUM),7700 UNIVERSITY DR,WEST CHESTER,OH,MEDASSETS,02/28/2024,2309445050,974,0.2,CS,43.14,0.0
,2309466154,R705T1,W5ZF,VANDERBILT IMAGING (BULK),2000 RICHARD JONES RD STE 270,NASHVILLE,TN,MEDASSETS,02/09/2024,2309466154,656,1.0,CS,139.89,0.0
,2309454825,R705T1,JKFF,NCH MD-HEALTHCARE SYSTEM,350 7TH ST N,NAPLES,FL,MEDASSETS,02/28/2024,2309454825,648,1.0,CS,155.04,0.0
,2309383709,R705T2,LCAC,UNIV CINCINNATI-WESTCHESTER,7700 UNIVERSITY DR,WEST CHESTER,OH,MEDASSETS,02/26/2024,2309383709,974,2.0,CS,431.4,0.0
,2309466155,R705T1,W5ZF,VANDERBILT IMAGING (BULK),2000 RICHARD JONES RD STE 270,NASHVILLE,TN,MEDASSETS,02/28/2024,2309466155,656,1.0,CS,139.89,0.0
,2309469717,R705T1,Q7QB,WMC - LUM ON PALLETS,100 WOODS RD,VALHALLA,NY,MEDASSETS,02/27/2024,2309469717,974,1.0,CS,220.01,0.0
,2309396680,R705T2,6RYB,PROMEDICA CHARLES & VIRG HICK (LUM),5640 N ADRIAN HWY,ADRIAN,MI,MEDASSETS,02/28/2024,2309396680,957,0.3,CS,37.71,0.0
,2309383972,R705T1,R152,UNIVERSITY OF ROCHESTER/STRONG (BUL,601 ELMWOOD AVE,ROCHESTER,NY,MEDASSETS,02/28/2024,2309383972,648,1.0,CS,155.0,0.0
,2309428686,R705T1,BAIR,WESTCHESTER MEDICAL CENTER - LUM CA,100 WOODS RD,VALHALLA,NY,MEDASSETS,02/28/2024,2309428686,946,0.3,CS,48.150000000000006,0.0
,2309558378,R705T1,HFNW,CHILDRENS NATIONAL HOSPITAL(LUM),111 MICHIGAN AVE NW,WASHINGTON,DC,MEDASSETS,02/28/2024,2309558378,646,0.8,CS,101.12,0.0
,2309584564,R705T1,HD25,GRAND RIVER HOSPITAL DISTRICT,501 AIRPORT RD,RIFLE,CO,MEDASSETS,03/01/2024,2309584564,649,1.0,CS,155.09,0.0
,2309503186,R705T1,ECHZ,WILSON MEMORIAL HOSPITAL (LUM),33-57 HARRISON ST,JOHNSON CITY,NY,MEDASSETS,02/27/2024,2309503186,648,0.2,CS,31.02,0.0
,2309562180,R705T2,LCAC,UNIV CINCINNATI-WESTCHESTER,7700 UNIVERSITY DR,WEST CHESTER,OH,MEDASSETS,02/20/2024,2309562180,974,1.0,CS,215.7,0.0
,2309503827,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,02/28/2024,2309503827,648,0.2,CS,30.4,0.0
,2309563609,R705T1,HFNW,CHILDRENS NATIONAL HOSPITAL(LUM),111 MICHIGAN AVE NW,WASHINGTON,DC,MEDASSETS,02/29/2024,2309563609,646,0.5,CS,63.2,0.0
,2309500938,R705T1,52FU,IRESEARCH SAVANNAH LLC,6349 ABERCORN ST,SAVANNAH,GA,MEDASSETS,02/02/2024,2309500938,974,1.0,CS,220.01,0.0
,2309503199,R705T2,KPN9,GRADY HEALTH SYSTEM LUM CARTS,80 JESSE HILL JR DR SE,ATLANTA,GA,MEDASSETS,02/28/2024,2309503199,648,0.6,CS,91.19999999999999,0.0
